First name,Last name,Preferred title,Overview,Position,Department,Individual
Adam,Patterson,Clinical Associate Professor,"My career in veterinary dermatology has focused mainly on patient care (small and large animal), teaching veterinary students the basic tenets of clinical dermatology using a problem and pattern-based approach, the scholarship of applied medical sciences (e.g., continuing education, publishing review articles, book, and book chapters), and multi-discipline collaborative research. In addition to these roles, I serve on several graduate student committees and provide specialty-level training to residents seeking to be boarded dermatologists. Lastly, I promote my specialty through my elected positions in the American College of Veterinary Dermatology.",Clinical Associate Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/nc7f9a04d
Albert,Patterson,Assistant Professor,,Assistant Professor,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/n6b0eb7d4
Carly,Patterson,Clinical Assistant Professor,small animal internal medicine; pharmacology,Clinical Assistant Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/n1ff6df70
Clinton,Patterson,Instructional Consultant,"As an Instructional Consultant at the Center for Teaching Excellence, Dr. Clint Patterson supports curriculum research, assessment initiatives, and academic grant writing. The goal of these efforts is to provide evidence-based information for the Center and Texas A&M academic leadership.",Instructional Consultant,Center for Teaching Excellence,https://scholars.library.tamu.edu/vivo/display/nb80095cb
Megan,Patterson,Assistant Professor,"Dr. Patterson's  research focuses on using network analysis to measure how social and spatial networks impact the overall wellbeing of individuals and communities. Her training in research methods and network analysis provides ample opportunities to design, conduct, and collaborate on a variety of studies within behavioral science. Most recently, this has involved using a network perspective to study compulsive exercise and body satisfaction among sorority members, interpersonal violence on college campuses, addiction recovery communities, adolescent physical activity, and inner-city risk networks for long-haul truck drivers, among others.",Assistant Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/neb51158c
William,Patterson,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n48caf407
Kalani,Pattison,Lecturer,,Lecturer,English,https://scholars.library.tamu.edu/vivo/display/nf320e714
Wendy,Patzewitsch,Instructional Assistant Professor,"Dissertation: ""Changing Patterns and Perceptions of Water Use in East Central Texas Since the Time of Anglo Settlement.""<br /><br />o	Texas water resources.<br /><br />o	Historical environmental geography of the American South and West.<br /><br />o	Regional geography, local histories, and the great explorers.",Instructional Assistant Professor,Geography,https://scholars.library.tamu.edu/vivo/display/n3abf8381
Sushil,Paudyal,Instructional Assistant Professor,"Dr. Paudyal's research interest focus on using herd and animal level data for decision making in dairy farms. His research utilizes innovative technologies to optimize production, health, and well-being of dairy cattle.",Instructional Assistant Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/n786f9312
Narayan,Paul,Section Head,"Narayan Paul is a veterinary clinical microbiologist. He received his DVM from the University of Chittagong, Bangladesh in 2005 and a Master's of Science in microbiology (virology) from Bangladesh Agriculture University in 2006. Soon after graduation, he worked as a research associate at a social enterprise called Dnet to develop web-based animal disease information that allowed farmers to consult with local veterinarians, in addition to delivering telemedicine services to clients. Later, he worked at the Food and Agriculture Organization (FAO) of the United Nations as a veterinarian in a Highly Pathogenic Influenza Virus (H5N1) surveillance program. Narayan completed his Ph.D. in microbiology in 2013 from the University of Copenhagen, Denmark. There, his research focused on antibiotic susceptibility patterns and molecular strain typing of Staphylococcus pseudintermedius isolates from dogs and humans and the extended-spectrum beta-lactamase (ESBL) production in E. coli. That same year, Narayan joined at the Washington State University as a post-doctoral fellow and studied molecular epidemiology of antimicrobial resistance, bacterial pathogenesis, and food-safety utilizing molecular biology tools and next-generation sequencing technology. Since April 2019, Narayan has been working as the Bacteriology and Mycology Section head at the Texas A&M Veterinary Medical Diagnostic Laboratory (TVMDL), College Station, TX, where he leads a team of 12 members, and oversees day-to-day activities of the section including diagnostic consultation, new diagnostic test development, section budget, staff training and quality assurance. Narayan became a Diplomate of the American College of Veterinary Microbiologists with Bacteriology specialty in 2020. Narayan serves as a committee member of the microbiology residency program at TVMDL, and a board of governor member of the American College of Veterinary Microbiologists. Since 2020, Narayan has been an editor of the Veterinary Dermatology Journal.",Section Head,Texas A&M Veterinary Medical Diagnostic Laboratory,https://scholars.library.tamu.edu/vivo/display/nb941e03e
Carol,Pauli,Professor,My research focuses on the role of the news media in public conflict and conflict resolution,Instructional Professor||Associate Professor,School of Law||School of Law,https://scholars.library.tamu.edu/vivo/display/n18ba7576
Miro,Pavelka,Adjunct Professor,,Adjunct Professor,Oral and Maxillofacial Surgery,https://scholars.library.tamu.edu/vivo/display/n0c22260f
Michael,Payne,Clinical Assistant Professor,,Clinical Assistant Professor,Diagnostic Sciences,https://scholars.library.tamu.edu/vivo/display/nc91f1ac5
Stephanie,Payne,Professor,,Professor,Psychological and Brain Sciences,https://scholars.library.tamu.edu/vivo/display/n050a8af9
Susan,Payne,Associate Professor,"Molecular aspects of viral replication, pathogenesis, and evolution. The major focus of the laboratory is the retrovirus, equine infectious anemia virus. EIAV studies include evolution of virulence during rapid virus passage, modification of cell signaling pathways mediated by viral glycoproteins, effects of proinflammatory cytokines on virus replication and disease, and detailed mapping of EIAV virulence determinants. We also study the recently discovered avian bornavirus, etiological agent of proventricular dilatation disease of parrots, in conjunction with colleagues from the Schubot center.",Associate Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n97844057
Walter,Peacock,Professor,"Walter Gillis Peacock is professor of Urban Planning in the Department of Landscape Architecture and Urban Planning,  where he has been a member of the faculty since 2002. He is currently Program Director of the Humans, Disasters, and the Built Environment (HDBE) in the Engineering Directorate at the National Science Foundation. Until the summer of 2019 he was Director of the Hazard Reduction and Recovery Center at Texas A&M University (TAMU). He received his Ph.D. from the University of Georgia. He is internationally known for his research on disaster recovery, community resiliency, and social vulnerability. In 2009 he was awarded the Quarantelli Award for Social Science Disaster Theory, acknowledging significant theoretical work in disaster and hazards research. Between 2008 and 2012 he was the holder of the Rodney L. Dockery Endowed Professorship in Housing and the Homeless and in 2012 he was awarded the Sandy and Bryan Mitchell Master Builder Endowed Chair at Texas A&M. In 2014 he received the Distinguished Achievement Award in Research from Texas A&M, an award sponsored by the Association of Former Students. He has conducted research in Florida, Texas, California, Guatemala, Mexico, Peru, the former Yugoslavia, Italy, Turkey, and India. He has been PI or Co-PI on approximately 7 million dollars in external funding since joining TAMU with the majority of that funding coming from the National Science Foundation (NSF), National Oceanographic Atmospheric Administration (NOAA), and the National Institute for Standards and Technology (NIST). He has authored or co-authored 3 books and over a hundred journal articles, book chapters, research monographs, and professional papers. He has given briefings regarding household, housing, and community recovery following major natural disasters to local, state, and federal officials.",Senior Research Fellow||Professor,Landscape Architecture and Urban Planning||Hazard Reduction and Recovery Center,https://scholars.library.tamu.edu/vivo/display/n5498b51c
